#правочник цен (прайс-лист) программы «Калькулятор стоимости услуг».
# Разделитель колонок — ЗНАК ТАБУЛЯЦИИ. Строки, начинающиеся с #, программой не читаются.
# Формат: Группа <TAB> Наименование <TAB> Ед. изм. <TAB> Цена
# Цены указаны в рублях. Цена 0 означает «уточняется» — впишите своё значение.
#
# Группа	Наименование	Ед. изм.	Цена
Диагностика	Компьютерная диагностика двигателя	услуга	1500
Диагностика	Диагностика ходовой части	услуга	900
Диагностика	Проверка электрооборудования и АКБ	услуга	600
Диагностика	Диагностика климатической системы	услуга	700
Диагностика	Промывка форсунок на стенде	услуга	2500

Техническое обслуживание	Замена моторного масла и масляного фильтра	услуга	1200
Техническое обслуживание	Замена воздушного фильтра	услуга	500
Техническое обслуживание	Замена салонного фильтра	услуга	800
Техническое обслуживание	Замена свечей зажигания (4 шт.)	услуга	1400
Техническое обслуживание	Замена тормозной жидкости	услуга	1800
Техническое обслуживание	Замена охлаждающей жидкости	услуга	1600
Техническое обслуживание	Частичная замена масла в АКПП	услуга	3200
Техническое обслуживание	Замена ремня ГРМ с роликами	услуга	6500

Ремонтные работы	Замена тормозных колодок, передняя ось	услуга	1800
Ремонтные работы	Замена тормозных дисков, передняя ось	услуга	3200
Ремонтные работы	Замена амортизационной стойки	стойка	4500
Ремонтные работы	Замена рулевого наконечника	сторона	1500
Ремонтные работы	Замена шаровой опоры	сторона	1400
Ремонтные работы	Замена ступичного подшипника	сторона	2800
Ремонтные работы	Снятие и установка генератора	услуга	3500
Ремонтные работы	Снятие и установка стартера	услуга	3000
Ремонтные работы	Замена радиатора охлаждения	услуга	4000
Ремонтные работы	Ремонт глушителя (сварка)	услуга	2500

Шиномонтаж и колёса	Комплексный шиномонтаж (4 колеса, литые диски)	комплект	3200
Шиномонтаж и колёса	Монтаж и балансировка одного колеса	колесо	700
Шиномонтаж и колёса	Развал-схождение, 3D-стенд	услуга	2800
Шиномонтаж и колёса	Ремонт прокола, жгут	колесо	450
Шиномонтаж и колёса	Сезонное хранение шин	комплект	4000

Запасные части и материалы	Моторное масло 5W-30	литр	850
Запасные части и материалы	Масляный фильтр	шт.	700
Запасные части и материалы	Воздушный фильтр	шт.	1200
Запасные части и материалы	Салонный фильтр (угольный)	шт.	1500
Запасные части и материалы	Комплект тормозных колодок, передние	комплект	4200
Запасные части и материалы	Тормозная жидкость DOT-4	литр	900
Запасные части и материалы	Антифриз готовый	литр	600
Запасные части и материалы	Свеча зажигания	шт.	900
